Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1895-O US Barber Dime 10c Key Date! AG -5410-,206121664679,"Mar 12, 2026",$335.00,$5.00,,,Fixed price,https://www.ebay.com/itm/206121664679
,,"Mar 12, 2026",$39.50,$4.99,,,Fixed price,,4
1895-O Barber Dime 10c - Old US Coin - Key Date!,277761183088,"Mar 6, 2026",$605.00,$5.00,,,Auction,https://www.ebay.com/itm/277761183088
,,"Mar 4, 2026",$39.99,$4.99,,,Fixed price,,2
,,"Mar 1, 2026","$1,450.00",$0.00,,,Fixed price,,1
,,"Feb 18, 2026",$630.00,$5.85,,,Fixed price,,1
,,"Feb 13, 2026",$300.00,$0.00,,,Fixed price,,1
,,"Feb 9, 2026",$314.00,$2.00,,,Auction,,1
,,"Feb 7, 2026",$570.00,$5.89,,,Fixed price,,1
,,"Feb 5, 2026","$2,950.00",$12.70,,,Fixed price,,1
,,"Feb 4, 2026",$775.00,$5.00,,,Fixed price,,1
,,"Feb 1, 2026",$725.00,$0.00,,,Fixed price,,1
,,"Jan 31, 2026",$49.99,$4.99,,,Fixed price,,2
,,"Jan 24, 2026",$79.95,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$335.00,$5.83,,,Fixed price,,1
,,"Jan 18, 2026",$53.14,$0.00,,,Fixed price,,5
,,"Jan 17, 2026",$768.96,$0.00,,,Fixed price,,1
,,"Jan 13, 2026",$225.00,$8.40,,,Fixed price,,1
,,"Jan 12, 2026",$575.00,$0.00,,,Auction,,1
,,"Jan 10, 2026",$350.00,$0.00,,,Fixed price,,1
,,"Jan 9, 2026",$510.00,$0.00,,,Fixed price,,1
