Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1883-S & 1901 S MORGAN SILVER DOLLARS---2 COINS,155735673620,"Feb 23, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/155735673620,1
,,"Dec 21, 2025",$49.00,$0.00,,,Fixed price,,1
,,"Nov 26, 2025",$75.00,$4.95,,,Fixed price,,1
,,"Dec 7, 2025",$60.00,$8.10,,,Fixed price,,1
1901 *S* MORGAN SILVER DOLLAR *NICE COIN!* FREE SHIPPING! M2961,156624305257,"Apr 5, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/156624305257,1
,,"Dec 2, 2025",$45.00,$7.80,,,Fixed price,,1
1901 S Morgan Silver Dollar ANACS AU-50,156828305062,"Jan 23, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/156828305062,1
,,"Dec 19, 2025",$72.00,$8.10,,,Fixed price,,1
1901-S MORGAN SILVER DOLLAR XF,156928609197,"Mar 17, 2026",$129.99,$0.00,,,Fixed price,https://www.ebay.com/itm/156928609197,1
1901-S Morgan Silver Dollar Silver Coin Tough Choice XF Better Date,157108625258,"Feb 5, 2026",$67.05,$7.95,,,Fixed price,https://www.ebay.com/itm/157108625258,1
,,"Jan 14, 2026",$70.00,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$92.00,$0.00,,,Fixed price,,1
,,"Dec 25, 2025",$37.39,$7.11,,,Fixed price,,1
,,"Dec 28, 2025",$54.95,$0.00,,,Fixed price,,1
,,"Oct 26, 2025",$65.00,$0.00,,,Fixed price,,1
,,"Nov 9, 2025",$77.00,$5.95,,,Auction,,1
,,"Nov 16, 2025",$70.02,$6.45,,,Auction,,1
1901-S Morgan Silver $1 Dollar Coin Key Date-Capital Plastic Holder,157471215010,"Mar 17, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157471215010,1
,,"Nov 22, 2025",$335.00,$0.00,,,Fixed price,,1
,,"Dec 3, 2025",$94.00,$7.80,,,Fixed price,,1
,,"Dec 8, 2025",$49.00,$0.00,,,Fixed price,,1
,,"Dec 23, 2025",$354.00,$6.36,,,Auction,,1
,,"Dec 30, 2025",$77.00,$5.15,,,Fixed price,,1
,,"Jan 8, 2026",$135.69,$0.00,,,Auction,,1
1901 S Morgan Silver Dollar Very Fine,157620262907,"Jan 22, 2026",$78.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157620262907,1
1901 S Morgan Silver Dollar XF Tough Date San Francisco Mint,157624749016,"Jan 22, 2026",$150.00,$8.75,,,Fixed price,https://www.ebay.com/itm/157624749016,1
1901 S Morgan Silver Dollar AUCTION NO RESERVE,157628851253,"Jan 28, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/157628851253,1
1901 S Morgan Silver Dollar Good,157661802613,"Feb 27, 2026",$68.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157661802613,1
1901-S $1 Morgan Dollar ANACS VF25 Details Better Date,157663033332,"Feb 26, 2026",$95.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157663033332,1
1901-S MORGAN DOLLAR VF BETTER DATE #1331,157667635467,"Feb 13, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157667635467,1
1901 S $1 NGC GENUINE MORGAN SILVE DOLLAR SIGNED THOMAS URAM,157676114727,"Feb 21, 2026",$125.00,$6.95,,,Auction,https://www.ebay.com/itm/157676114727,1
Lot of 3 Semi key Date Morgan Silver Dollars 1883-S 1884-S 1901-S Circulated,157679863374,"Apr 11, 2026",$251.00,$4.95,,,Fixed price,https://www.ebay.com/itm/157679863374,1
1901-S Morgan Silver Dollar AU Tough Date San Francisco Mint,157683403229,"Feb 15, 2026",$165.00,$7.95,,,Fixed price,https://www.ebay.com/itm/157683403229,1
1901-S MORGAN SILVER DOLLAR AU DETAILS TOUGH DATE SAN FRANCISCO MINT,157690075830,"Feb 18, 2026",$115.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157690075830,1
1901 S Morgan 90% Silver Dollar ~ U Grade ~ No Reserve ~ #8,157701094955,"Mar 1, 2026",$74.75,$0.00,,,Auction,https://www.ebay.com/itm/157701094955,1
"1901-s morgan silver dollar, XF, better date very nice. rare",157711735820,"Mar 2, 2026",$76.00,$4.88,,,Fixed price,https://www.ebay.com/itm/157711735820,1
1901-S Morgan Silver Dollar Very Good/Fine - Great Coin Great Price,157723253794,"Mar 3, 2026",$75.00,$4.99,,,Fixed price,https://www.ebay.com/itm/157723253794,1
