Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Jan 29, 2026",$115.00,$5.52,,,Fixed price,,1
1998-P Proof American Silver Eagle Dollar $1 Box & COA Bullion Mirror 011823,116989439075,"Jan 26, 2026",$119.95,$7.83,,,Fixed price,https://www.ebay.com/itm/116989439075,2
1998 Silver American Eagle Dollar UNC Littleton Coin Company - 1oz. Fine Silver,274761650989,"Jan 26, 2026",$106.75,$9.99,,,Fixed price,https://www.ebay.com/itm/274761650989,4
1998-P $1 Silver Eagle Proof PF 69 Ultra Cameo NGC #1096,116989493573,"Jan 26, 2026",$119.00,$8.10,,,Fixed price,https://www.ebay.com/itm/116989493573,1
1998 P American Silver Eagle NGC MS 69 / No Spots,116991260064,"Jan 26, 2026",$120.00,$8.00,,,Auction,https://www.ebay.com/itm/116991260064,1
1998 American Silver $1 Eagle Unc,117001189222,"Jan 26, 2026",$113.00,$5.78,,,Fixed price,https://www.ebay.com/itm/117001189222,1
1998 $1 American Silver Eagle NGC MS69 - 1 OZ. .999 FINE SILVER COIN,117002740593,"Jan 26, 2026",$115.00,$5.77,,,Fixed price,https://www.ebay.com/itm/117002740593,1
,,"Jan 26, 2026",$106.75,$9.99,,,Fixed price,,4
1998-P American Silver Eagle Proof Coin 1 Oz,127174917885,"Jan 25, 2026",$108.55,$0.00,,,Fixed price,https://www.ebay.com/itm/127174917885
1998 BU American Silver Eagle Dollar Uncirculated ASE US Mint Bullion Coin,312579243861,"Jan 24, 2026",$78.83,$6.27,,,Fixed price,https://www.ebay.com/itm/312579243861
1998 American Silver Eagle Proof $1 – 1 oz .999 Fine Silver – Original Box & COA,267556207759,"Jan 24, 2026",$108.99,$0.00,,,Fixed price,https://www.ebay.com/itm/267556207759,2
1998 American Silver Eagle ASE 1oz First Strike MS69 PCGS MS 69 TOP POP COIN!,116928547537,"Jan 24, 2026",$250.00,$1.99,,,Fixed price,https://www.ebay.com/itm/116928547537,1
,,"Jan 24, 2026",$250.00,$1.99,,,Fixed price,,1
1998 1 OZ. SILVER EAGLE NGC MS69 BROWN LABEL 012316,116997450096,"Jan 23, 2026",$119.95,$7.70,,,Fixed price,https://www.ebay.com/itm/116997450096,1
1998-P American Silver Eagle Dollar PR69DCAM PCGS Proof 69 Deep Cameo,295943764625,"Jan 22, 2026",$115.06,$0.00,,,Fixed price,https://www.ebay.com/itm/295943764625
Proof 9.9 1998-P American Silver Eagle $1 NGC X NGCX - Almost PERFECT,126401960127,"Jan 22, 2026",$114.95,$0.00,,,Fixed price,https://www.ebay.com/itm/126401960127,1
1998 $1 American Silver Eagle NGC MS69 Brown Label,116963698292,"Jan 21, 2026",$98.00,$5.52,,,Fixed price,https://www.ebay.com/itm/116963698292,1
1998-P Proof $1 American Silver Eagle PCGS PR69DCAM Blue Label,146871340917,"Jan 20, 2026",$105.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146871340917
1998 American Silver Eagle $1 NGC MS69 Mint Error Obverse Struck Thru - Cabral,397214071365,"Jan 20, 2026",$177.88,$0.00,,,Fixed price,https://www.ebay.com/itm/397214071365,25
"1998-P Proof $1 American Silver Eagle Box, OGP, & COA",406620982474,"Jan 20, 2026",$92.50,$8.35,,,Fixed price,https://www.ebay.com/itm/406620982474,2
1998-P Silver Eagle NGC PF69 Ultra Cameo Proof,115589684921,"Jan 20, 2026",$100.00,$10.00,,,Fixed price,https://www.ebay.com/itm/115589684921,1
1998 (PF70 Ultra Cameo) 1 oz Proof American Silver Eagle $1 NGC,177182911027,"Jan 19, 2026",$189.99,$0.00,,,Fixed price,https://www.ebay.com/itm/177182911027
MS69 1998 American Silver Eagle - Graded NGC No Spots - Bright White,124636880036,"Jan 19, 2026",$80.45,$0.00,,,Fixed price,https://www.ebay.com/itm/124636880036
1998 AMERICAN SILVER EAGLE 1 OZ. PURE FINE SILVER 999 BULLION COIN BU/UNC,376861839956,"Jan 19, 2026",$91.67,$5.84,,,Fixed price,https://www.ebay.com/itm/376861839956
MS69 1998 American Silver Eagle - Graded NGC No Spots - Bright White,124636880036,"Jan 19, 2026",$91.95,$0.00,,,Fixed price,https://www.ebay.com/itm/124636880036,2
1998 American Eagle Lady Liberty Colorized American Flag 1oz .999 Silver Coin,116989558495,"Jan 19, 2026",$93.00,$6.50,,,Fixed price,https://www.ebay.com/itm/116989558495,1
,,"Jan 19, 2026",$93.00,$6.50,,,Fixed price,,1
"Better Date 1998 American Silver Eagle 1 Troy Oz .999 Fine Silver, Low Mintage",236456895136,"Jan 18, 2026",$89.76,$0.00,,,Fixed price,https://www.ebay.com/itm/236456895136
1998 $1 American Silver Eagle PCGS MS 69 | Uncirculated UNC BU,306290988005,"Jan 18, 2026",$84.66,$19.35,,,Fixed price,https://www.ebay.com/itm/306290988005
Roll of 20 - 2014 $1 American Silver Eagle Dollar Coins full Tube 1 oz BU .999,267548586687,"Jan 18, 2026","$2,053.33",$0.00,,,Fixed price,https://www.ebay.com/itm/267548586687
1998 $1 American Silver Eagle PCGS MS 69 | Uncirculated UNC BU,306290988005,"Jan 18, 2026",$86.76,$19.35,,,Fixed price,https://www.ebay.com/itm/306290988005,6
,,"Jan 18, 2026",$101.00,$0.00,,,Auction,,1
,,"Jan 18, 2026",$120.00,$0.00,,,Auction,,1
1998 P American 1 Oz Silver Eagle Proof Bullion $1 Coin OGP COA,227081751731,"Jan 17, 2026",$92.50,$4.88,,,Fixed price,https://www.ebay.com/itm/227081751731,2
Roll of 20 - 2014 $1 American Silver Eagle Dollar Coins full Tube 1 oz BU .999,267547689174,"Jan 16, 2026","$1,920.00",$0.00,,,Fixed price,https://www.ebay.com/itm/267547689174
Roll of 20 - 2014 $1 American Silver Eagle Dollar Coins full Tube 1 oz BU .999,267547929917,"Jan 16, 2026","$1,970.00",$0.00,,,Fixed price,https://www.ebay.com/itm/267547929917,3
Roll of 20 - 1998 $1 American Silver Eagle Dollar Coins full Tube 1 oz BU .999,267544813710,"Jan 15, 2026","$2,014.00",$0.00,,,Fixed price,https://www.ebay.com/itm/267544813710
1998-P Proof $1 American Silver Eagle NGC PF69UC Brown Label,116193579130,"Jan 15, 2026",$95.00,$5.55,,,Fixed price,https://www.ebay.com/itm/116193579130,1
1998 - 1 oz American Silver Eagle Coin - One Troy oz .999 Bullion,141551919148,"Jan 13, 2026",$68.28,$0.00,,,Fixed price,https://www.ebay.com/itm/141551919148
1998 BU American Silver Eagle Dollar Uncirculated ASE Coin as shown,326770819241,"Jan 13, 2026",$77.31,$3.99,,,Fixed price,https://www.ebay.com/itm/326770819241
1998 - 1 oz American Silver Eagle Coin - One Troy oz .999 Bullion,141551919148,"Jan 13, 2026",$69.33,$0.00,,,Fixed price,https://www.ebay.com/itm/141551919148
1998 American Silver Eagle Coins 1 oz - 1 Tube - Twenty BU Coins.,267542483865,"Jan 13, 2026","$1,900.00",$0.00,,,Fixed price,https://www.ebay.com/itm/267542483865,2
1998 1 oz Fine Silver American Eagle Dollar,297932073761,"Jan 13, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297932073761,6
1998 American Silver Eagle MS-69 NGC,122771661648,"Jan 13, 2026",$138.02,$0.00,,,Fixed price,https://www.ebay.com/itm/122771661648,1
,,"Jan 12, 2026",$94.00,$3.54,,,Auction,,1
,,"Jan 12, 2026",$93.67,$3.53,,,Auction,,1
,,"Jan 12, 2026",$84.99,$4.95,,,Fixed price,,1
,,"Jan 12, 2026",$89.00,$3.35,,,Auction,,1
Roll of 20 - 1998 $1 American Silver Eagle Dollar Coins full Tube 1 oz BU .999,267540574168,"Jan 11, 2026","$1,800.00",$0.00,,,Fixed price,https://www.ebay.com/itm/267540574168
,,"Jan 11, 2026","$1,800.00",$0.00,,,Fixed price,
,,"Jan 10, 2026",$80.50,$0.00,,,Fixed price,,2
,,"Jan 9, 2026","$1,600.00",$12.96,,,Fixed price,,1
,,"Jan 9, 2026",$85.00,$0.00,,,Fixed price,,1
,,"Jan 8, 2026",$93.00,$0.00,,,Auction,,1
,,"Jan 6, 2026",$85.00,$0.00,,,Fixed price,
Roll of 20 - 1998 $1 American Silver Eagle Dollar Coins full Tube 1 oz BU .999,336326678803,"Jan 6, 2026","$1,786.75",$0.00,,,Fixed price,https://www.ebay.com/itm/336326678803
,,"Jan 6, 2026",$75.00,$7.83,,,Fixed price,,2
1998 American Silver Eagle MS69 CAC,135321214526,"Jan 5, 2026",$90.49,$0.00,,,Fixed price,https://www.ebay.com/itm/135321214526
1998 American Silver Eagle BU NGC Brown Label,136629583039,"Jan 5, 2026",$75.76,$0.00,,,Fixed price,https://www.ebay.com/itm/136629583039
,,"Jan 5, 2026",$84.00,$0.00,,,Auction,,1
,,"Jan 4, 2026",$74.00,$5.15,,,Auction,,1
,,"Jan 4, 2026",$105.00,$0.00,,,Auction,,1
,,"Jan 3, 2026",$78.00,$0.00,,,Auction,,1
,,"Jan 2, 2026",$84.00,$0.00,,,Auction,,1
"1998-P Proof $1 American Silver Eagle Box, OGP, & COA",314597837462,"Dec 31, 2025",$89.58,$0.00,,,Fixed price,https://www.ebay.com/itm/314597837462
,,"Dec 30, 2025",$221.50,$0.00,,,Auction,,1
,,"Dec 28, 2025",$104.99,$5.09,,,Fixed price,,1
,,"Dec 28, 2025",$81.00,$0.00,,,Auction,,1
,,"Dec 27, 2025",$78.25,$3.32,,,Fixed price,,2
,,"Dec 27, 2025",$90.00,$3.32,,,Fixed price,,1
,,"Dec 27, 2025",$99.69,$0.00,,,Auction,,1
,,"Dec 26, 2025",$79.95,$0.00,,,Fixed price,,2
,,"Dec 26, 2025",$84.95,$0.00,,,Fixed price,,1
,,"Dec 26, 2025",$75.00,$5.09,,,Fixed price,,1
1998 American Silver Eagle MS69 ICG,135376769529,"Dec 25, 2025",$68.70,$14.53,,,Fixed price,https://www.ebay.com/itm/135376769529
American Silver Eagles Random Dates BU Key Date 1 oz 999 some key dates,134520337628,"Dec 25, 2025",$66.78,$8.95,,,Fixed price,https://www.ebay.com/itm/134520337628
1998 American Silver Eagle MS69 ICG,135376769529,"Dec 25, 2025",$69.18,$14.53,,,Fixed price,https://www.ebay.com/itm/135376769529
American Silver Eagles Random Dates BU Key Date 1 oz 999 some key dates,134520337628,"Dec 25, 2025",$78.45,$8.95,,,Fixed price,https://www.ebay.com/itm/134520337628,22
,,"Dec 25, 2025",$85.00,$0.00,,,Fixed price,,1
,,"Dec 24, 2025",$69.79,$6.63,,,Fixed price,
,,"Dec 24, 2025",$73.00,$0.00,,,Fixed price,,1
,,"Dec 23, 2025",$70.64,$4.97,,,Fixed price,
,,"Dec 23, 2025",$69.00,$5.00,,,Fixed price,,1
1998-P American Silver Eagle PF69 UCAM NGC Brown Label,127406884169,"Dec 23, 2025",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127406884169,4
,,"Dec 22, 2025",$64.79,$4.76,,,Fixed price,,1
,,"Dec 21, 2025",$64.00,$6.61,,,Fixed price,,3
,,"Dec 21, 2025",$67.00,$5.15,,,Auction,,1
,,"Dec 20, 2025",$91.00,$0.00,,,Auction,,1
,,"Dec 18, 2025",$91.00,$0.00,,,Auction,,1
Tube of 20 - 1998 American Silver Eagle Coin - NGC Gem Uncirculated,305160136542,"Dec 17, 2025","$1,522.09",$5.95,,,Fixed price,https://www.ebay.com/itm/305160136542
,,"Dec 17, 2025",$189.95,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$68.00,$0.00,,,Auction,,1
1998-P PR70 DCAM American Silver Eagle PCGS Blue Label,125200508917,"Dec 16, 2025",$218.46,$0.00,,,Fixed price,https://www.ebay.com/itm/125200508917,2
,,"Dec 16, 2025",$84.00,$0.00,,,Auction,,1
(1) 1998 1oz BU ASE American Silver Eagle $1 Dollar MS/Uncirculated Bullion Coin,266062297963,"Dec 11, 2025",$66.60,$0.00,,,Fixed price,https://www.ebay.com/itm/266062297963
,,"Dec 11, 2025",$62.48,$4.98,,,Fixed price,
,,"Dec 11, 2025",$64.26,$4.98,,,Fixed price,,4
1998 $1 American Silver Eagle 1 oz Brilliant Uncirculated,176441980998,"Dec 8, 2025",$81.41,$0.00,,,Fixed price,https://www.ebay.com/itm/176441980998
,,"Dec 7, 2025",$309.99,$0.00,,,Fixed price,,1
,,"Dec 6, 2025",$60.00,$4.65,,,Fixed price,,1
,,"Dec 5, 2025",$80.00,$5.45,,,Fixed price,,1
,,"Dec 5, 2025",$64.00,$5.20,,,Fixed price,,1
,,"Dec 4, 2025",$58.00,$8.75,,,Auction,,1
,,"Dec 1, 2025",$226.57,$0.00,,,Auction,,1
1998 P S$1 Proof Silver American Eagle Dollar NGC Graded PF 69 Ultra Cameo,306551759912,"Nov 30, 2025",$86.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306551759912,2
,,"Nov 30, 2025",$62.00,$0.00,,,Auction,,1
,,"Nov 30, 2025",$53.00,$0.00,,,Auction,,1
,,"Nov 29, 2025","$1,239.00",$7.17,,,Fixed price,,1
,,"Nov 29, 2025",$61.02,$0.00,,,Auction,,1
,,"Nov 29, 2025",$59.00,$0.00,,,Auction,,1
,,"Nov 28, 2025",$77.00,$0.00,,,Auction,,1
,,"Nov 28, 2025",$62.00,$0.00,,,Auction,,1
,,"Nov 27, 2025",$56.88,$0.00,,,Auction,,1
,,"Nov 27, 2025",$56.00,$0.00,,,Auction,,1
