Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1886 O Morgan Silver Dollar,389816715944,"May 4, 2026",$58.00,$5.99,,,Fixed price,https://www.ebay.com/itm/389816715944,1
1886-O Morgan Silver Dollar,157883639022,"May 4, 2026",$47.00,$5.48,,,Fixed price,https://www.ebay.com/itm/157883639022,1
1886 O Morgan Silver Dollar,336534816540,"May 3, 2026",$59.67,$0.00,,,Fixed price,https://www.ebay.com/itm/336534816540,10
1886 O MORGAN SILVER DOLLAR HI GRADE GENUINE U.S. MINT RARE KEY COIN 8549,389925339734,"May 3, 2026",$76.00,$0.00,,,Auction,https://www.ebay.com/itm/389925339734,1
1880 - O / 1886 / 1889 / 1896 Morgan Silver Dollar US Coin Lot Of 4,178082039172,"May 3, 2026",$224.72,$0.50,,,Auction,https://www.ebay.com/itm/178082039172,1
Lot of (2) Morgan Dollars - 1886-O and 1882 - 90% silver - FREE SHIPPING!,397883378018,"May 3, 2026",$94.00,$0.00,,,Auction,https://www.ebay.com/itm/397883378018,1
1886 O New Orleans Morgan Silver Dollar US Coin,178081789964,"May 3, 2026",$57.00,$5.10,,,Auction,https://www.ebay.com/itm/178081789964,1
1886-O Morgan Dollar NGC MS60 Rare in Unc! #2FFA,137072026396,"May 3, 2026","$1,200.00",$0.00,,,Fixed price,https://www.ebay.com/itm/137072026396,1
*RARE* KEY-DATE - 1886-O Morgan Silver Dollar BU UNC- Original,236725730874,"May 3, 2026",$550.00,$7.90,,,Fixed price,https://www.ebay.com/itm/236725730874,1
1886-O Morgan Silver Dollar 90% Silver Ungraded Raw Coin,127831359502,"May 3, 2026",$81.00,$5.89,,,Auction,https://www.ebay.com/itm/127831359502,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *423,366375625305,"May 3, 2026",$61.00,$0.00,,,Auction,https://www.ebay.com/itm/366375625305,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *259,127834714562,"May 3, 2026",$63.00,$0.00,,,Auction,https://www.ebay.com/itm/127834714562,1
1886-O Morgan Silver Dollar $1 - ANACS AU53,257471374138,"May 3, 2026",$147.50,$5.48,,,Auction,https://www.ebay.com/itm/257471374138,1
1886-O Morgan Silver Dollar. Key Date. Very Rare. High Grade. Blast White. MS+++,336562907458,"May 3, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336562907458,1
1886-O New Orleans Mint Silver Morgan Dollar,366370308830,"May 2, 2026",$122.51,$4.65,,,Auction,https://www.ebay.com/itm/366370308830,1
1886 O Morgan Silver Dollar NGC XF45 Toned Obverse & Reverse,157791874208,"May 2, 2026",$100.00,$6.56,,,Fixed price,https://www.ebay.com/itm/157791874208,1
1886-O New Orleans Mint Silver Morgan Dollar,358487882418,"May 2, 2026",$63.00,$4.65,,,Auction,https://www.ebay.com/itm/358487882418,1
1886 O Morgan Silver Dollar $1-Scarcer Issue!!,389937509031,"May 2, 2026",$90.99,$6.00,,,Auction,https://www.ebay.com/itm/389937509031,1
1886-O VAM-1A2 Multi Clashed E Reverse Top 100 Morgan Silver Dollar $1,389937470040,"May 2, 2026",$119.50,$6.00,,,Auction,https://www.ebay.com/itm/389937470040,1
05/00000002 L#3545 1886 O Morgan Silver Dollar Coin,157878566177,"May 2, 2026",$193.00,$0.00,,,Auction,https://www.ebay.com/itm/157878566177,1
1886-O Morgan Silver Dollar Choice AU/BU Nice Eye Appeal Nice Strike,377105788457,"May 2, 2026",$394.00,$0.00,,,Fixed price,https://www.ebay.com/itm/377105788457,1
"1886-O Morgan Silver Dollar ""PCGS AU55""",236595766164,"May 2, 2026",$275.00,$4.95,,,Fixed price,https://www.ebay.com/itm/236595766164,1
