Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Early - 1884-S Morgan Silver Dollar - 90% US Coin *453,127681598827,"Feb 17, 2026",$138.05,$0.00,,,Auction,https://www.ebay.com/itm/127681598827,1
RARE DATE! KEY DATE 1884 S Morgan Silver Dollar ~ 90% Silver $1,127688540142,"Mar 17, 2026",$300.00,$5.20,,,Fixed price,https://www.ebay.com/itm/127688540142,1
1884 S Morgan Silver Dollar ANACS XF Details Tough Date Morgan DC,127692594185,"Feb 18, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127692594185,1
1884 S Morgan Silver Dollar ANACS XF Details Tough Date Morgan DC,127692633363,"Feb 18, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127692633363,1
1884-S Morgan Silver Dollar Estate Coin Collection *742,127695921808,"Feb 25, 2026",$67.55,$0.00,,,Auction,https://www.ebay.com/itm/127695921808,1
Early - 1884-S Morgan Silver Dollar - 90% US Coin *515,127696233002,"Feb 25, 2026",$75.00,$0.00,,,Auction,https://www.ebay.com/itm/127696233002,1
Morgan Silver Dollar 1884 S $1 Coin Circulated 0.9 Fineness,127705385040,"Mar 4, 2026",$91.05,$2.86,,,Auction,https://www.ebay.com/itm/127705385040,1
1884-S Morgan Silver Dollar - Better Key Date Coin - Higher Grade,127709106849,"Mar 8, 2026",$120.00,$5.95,,,Auction,https://www.ebay.com/itm/127709106849,1
Lot of 3 – 1896 1884-S & 1884 Morgan Silver Dollars – 90% Silver – Circulated,127710651779,"Feb 28, 2026",$195.00,$3.52,,,Fixed price,https://www.ebay.com/itm/127710651779,1
1884-S Morgan Silver Dollar - San Francisco - 90% Silver - XF Details - Cleaned,127715192653,"Mar 9, 2026",$71.00,$0.00,,,Auction,https://www.ebay.com/itm/127715192653,1
1884-O New Orleans Morgan Liberty Head ONE DOLLAR S$1 USD USA 90% Silver Coin EX,127716511952,"Mar 8, 2026",$82.29,$6.99,,,Auction,https://www.ebay.com/itm/127716511952,1
"Lot of 4 Morgan Silver Dollars 1879-S, 1884-O, 1892-O, 1921 Nice Key Dates.",127717456207,"Mar 8, 2026",$289.00,$8.75,,,Fixed price,https://www.ebay.com/itm/127717456207,1
1884-S Morgan Silver Dollar Circulated 90% Silver #CMG84S001,127727057451,"Mar 8, 2026",$66.00,$5.52,,,Fixed price,https://www.ebay.com/itm/127727057451,1
RARE! 1884 S Morgan Silver Dollar ~ ESTATE SALE FIND ~ 90% SILVER $1,127727495546,"Mar 15, 2026",$129.50,$6.75,,,Auction,https://www.ebay.com/itm/127727495546,1
1884-S Morgan Silver Dollar *4364,127729850699,"Mar 10, 2026",$169.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127729850699,1
1884-S Morgan Silver Dollar #P33422,127752170958,"Mar 27, 2026",$182.50,$4.25,,,Auction,https://www.ebay.com/itm/127752170958,1
