Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 26, 2025",$23.79,$0.00,,,Fixed price,,2
RARE 1879 Morgan Silver Dollar No mint mark HIGHLY DETAILED W/ BEAUTIFUL PATINA!,336488625752,"Mar 18, 2026",$62.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336488625752,2
[Removed] Item 357904146476,357904146476,"Nov 26, 2025",$22.60,$0.00,,,Fixed price,,2
1879 S Morgan Dollar AU About Uncirculated 90% Silver $1 US Coin Collectible,365137957164,"Mar 3, 2026",$93.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365137957164,2
,,"Nov 14, 2025",$8.95,$0.00,,,Fixed price,,2
3 MORGAN Silver Dollar US COPY Coins 1878 1879 1880 Circulated Antique Look/Feel,376724770827,"Jan 25, 2026",$8.50,$1.50,,,Fixed price,https://www.ebay.com/itm/376724770827,2
,,"Nov 13, 2025",$25.52,$19.96,,,Fixed price,,208
1879 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,196284222133,"Apr 16, 2026",$171.39,$0.00,,,Fixed price,https://www.ebay.com/itm/196284222133,64
1879 Year San Francisco Mint Mark Morgan Silver Dollar $1 US COIN,236669323009,"Apr 17, 2026",$62.55,$0.00,,,Fixed price,https://www.ebay.com/itm/236669323009,60
VF 1879 (P) Morgan Silver Dollar (1 coin),135753197595,"Jan 2, 2026",$56.88,$0.00,,,Fixed price,https://www.ebay.com/itm/135753197595,98
,,"Nov 12, 2025",$18.09,$0.00,,,Fixed price,,65
[Removed] Item 389105995740,389105995740,"Oct 23, 2025",$25.29,$0.00,,,Fixed price,,60
VF 1879-S Morgan Silver Dollar (1 coin),365117525088,"Jan 26, 2026",$49.56,$0.00,,,Fixed price,https://www.ebay.com/itm/365117525088,36
[Removed] Item 136556309708,136556309708,"Dec 3, 2025",$23.91,$0.00,,,Fixed price,,43
[Removed] Item 197747634849,197747634849,"Oct 30, 2025",$19.67,$10.00,,,Fixed price,,28
[Removed] Item 317426098842,317426098842,"Oct 28, 2025",$19.48,$5.00,,,Fixed price,,31
[Removed] Item 376573998022,376573998022,"Nov 17, 2025",$90.69,$0.00,,,Fixed price,,27
[Removed] Item 389044921045,389044921045,"Oct 24, 2025",$25.70,$0.00,,,Fixed price,,20
AU+ 1879 (P) Morgan Silver Dollar (1 coin),365515339427,"Jan 2, 2026",$57.57,$0.00,,,Fixed price,https://www.ebay.com/itm/365515339427,33
AU 1879-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE COIN M-1836,177798784772,"Apr 15, 2026",$92.58,$5.25,,,Fixed price,https://www.ebay.com/itm/177798784772,12
,,"Nov 8, 2025",$21.96,$0.00,,,Fixed price,,22
1879 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,196257842619,"Apr 16, 2026",$269.30,$0.00,,,Fixed price,https://www.ebay.com/itm/196257842619,11
,,"Oct 20, 2025",$93.02,$0.00,,,Fixed price,,13
,,"Oct 22, 2025",$26.26,$0.00,,,Fixed price,,8
1879 O Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365683745997,"Jan 24, 2026",$83.56,$0.00,,,Fixed price,https://www.ebay.com/itm/365683745997,7
,,"Oct 28, 2025",$31.69,$0.00,,,Fixed price,,13
,,"Oct 23, 2025",$34.60,$0.00,,,Fixed price,,4
[Removed] Item 357722367278,357722367278,"Oct 19, 2025",$25.81,$0.00,,,Fixed price,,4
