Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Dec 24, 2025",$533.84,$0.00,,,Fixed price,,3
2026 Australia Bullion GOLD $100 Lunar Year of the Horse NGC MS70 1oz Coin FR,257134648007,"Feb 26, 2026","$5,578.92",$0.00,,,Fixed price,https://www.ebay.com/itm/257134648007,2
2026 Australia Perth Mint $5 1/20-Oz Gold Lunar Year Of The Horse BU “P” Mark,117141263628,"Apr 21, 2026",$295.00,$6.00,,,Fixed price,https://www.ebay.com/itm/117141263628,1
"2026 Australia 1 oz Gold Lunar Horse MS-70 PCGS (FDI, Red Label)",127374595570,"Dec 28, 2025","$5,144.26",$0.00,,,Fixed price,https://www.ebay.com/itm/127374595570,1
🤩Lunar Series 2026 Ascension G$2 Horse PF 70 ULTRA CAMEO Gold 1/20 Oz,137246615336,"Apr 28, 2026",$286.05,$4.60,,,Auction,https://www.ebay.com/itm/137246615336,1
2026 $100 Australian 1 oz Gold Lunar Horse NGC MS70 Australian Flag Label,178065312310,"Apr 22, 2026","$5,265.47",$0.00,,,Fixed price,https://www.ebay.com/itm/178065312310,1
2026 Ascension Lunar Horse Gold $2 1/20 oz NGC PF69 UC EDC Label,178083988742,"Apr 29, 2026",$285.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178083988742,1
2026 Australia PROOF GOLD $25 Lunar Year of the Horse NGC PF70 1/4oz Coin FR,257168441377,"Mar 1, 2026","$1,710.01",$0.00,,,Fixed price,https://www.ebay.com/itm/257168441377,1
2026 Lunar Horse 1/2oz Silver NGC Reverse PF70 Gold Ultra Breaks Label Stunning!,287281901161,"Apr 26, 2026",$95.00,$0.00,,,Auction,https://www.ebay.com/itm/287281901161,1
2026 Ascension Lunar Series Year of The Horse Gold $2 PF69 Ultra Cameo,298277871852,"May 1, 2026",$240.00,$5.97,,,Fixed price,https://www.ebay.com/itm/298277871852,1
Lunar Series 2026 Ascension S$1 Horse Gold & Grey PF70 Antiqued NGC,306878363915,"Apr 23, 2026",$100.00,$6.00,,,Auction,https://www.ebay.com/itm/306878363915,1
Lunar Series 2026 Ascension G$2 Horse PF 70 ULTRA CAMEO Gold 1/20 Oz,306893999952,"May 1, 2026",$280.00,$5.48,,,Auction,https://www.ebay.com/itm/306893999952,1
,,"Jan 23, 2026","$1,590.00",$263.35,,,Fixed price,,1
Lunar Series 2026 Ascension S$1 Horse Gold & Grey PF70 Antiqued NGC UB,327106480504,"Apr 19, 2026",$80.00,$10.64,,,Auction,https://www.ebay.com/itm/327106480504,1
🔥RARE ANTIQUED 2026 Lunar Horse 1/2 oz Silver NGC PF70 GOLD LABEL ULTRA BREAKS,358480588384,"Apr 28, 2026",$122.50,$5.99,,,Auction,https://www.ebay.com/itm/358480588384,1
2026 P 1 oz Australian Gold Lunar Series III Horse Coin (BU),397017034247,"Nov 3, 2025","$4,272.98",$0.00,,,Fixed price,https://www.ebay.com/itm/397017034247,1
🤩Lunar Series 2026 Ascension G$2 Horse PF 70 ULTRA CAMEO Gold 1/20 Oz,397898190060,"Apr 30, 2026",$275.00,$5.50,,,Fixed price,https://www.ebay.com/itm/397898190060,1
,,"Jan 22, 2026","$1,321.27",$0.00,,,Fixed price,,1
