Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2023-S Morgan & Peace Silver Dollar 2-Coin Reverse Proof Set NGC Rev PF70 STOCK,376791933538,"Feb 2, 2026",$304.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376791933538,2
2023-S Reverse Proof Morgan/Peace Silver Dollar 2pc Set - Great Condition,397136725112,"Jan 20, 2026",$202.50,$0.00,,,Fixed price,https://www.ebay.com/itm/397136725112,2
,,"Nov 8, 2025",$199.99,$10.00,,,Fixed price,,1
2023-S Morgan Dollar Reverse Proof PCGS PR69 Coin Is Amazing Perfect !!,116529845842,"Jan 28, 2026",$110.00,$6.95,,,Fixed price,https://www.ebay.com/itm/116529845842,1
,,"Jan 12, 2026",$160.00,$6.95,,,Fixed price,,1
2023-s First Strike Reverse Proof Morgan/Peace Dollar Set In Rare Single Slab,116873986283,"Jan 27, 2026",$309.00,$5.16,,,Fixed price,https://www.ebay.com/itm/116873986283,1
,,"Dec 11, 2025",$165.00,$0.00,,,Fixed price,,2
,,"Dec 7, 2025",$157.17,$5.99,,,Auction,,1
,,"Dec 22, 2025",$175.00,$4.00,,,Fixed price,,1
,,"Dec 14, 2025",$182.50,$5.99,,,Auction,,1
2023 S MORGAN AND PEACE REVERSE PROOF SILVER DOLLAR 2-COIN SET GEM+ OGP/COA,116989749586,"Jan 18, 2026",$195.00,$9.50,,,Fixed price,https://www.ebay.com/itm/116989749586,1
2023 S Morgan and Peace Dollar Reverse Two Coin Proof Silver Set w/ OGP & COA,117022422440,"Feb 8, 2026",$225.00,$10.00,,,Fixed price,https://www.ebay.com/itm/117022422440,1
2023-S Reverse Proof $1 Morgan and Peace Dollar 2pc Set PCGS PR70 First Strike,117024889572,"Feb 14, 2026",$258.00,$9.80,,,Auction,https://www.ebay.com/itm/117024889572,1
2023-S Reverse Proof $1 Morgan Peace Silver Dollar 2 Coin Set w/OGP & COA,117049219350,"Feb 28, 2026",$204.50,$6.00,,,Auction,https://www.ebay.com/itm/117049219350,1
2023-S Reverse Proof $1 Morgan and Peace Silver Dollar 2pc Set Box 23XS,117050671777,"Feb 24, 2026",$215.00,$5.99,,,Fixed price,https://www.ebay.com/itm/117050671777,1
2023 Morgan and Peace Silver Dollar Two-Coin Reverse Proof Set US Mint Box & COA,126827432731,"Jan 23, 2026",$210.95,$0.00,,,Fixed price,https://www.ebay.com/itm/126827432731,1
2023-S Morgan Dollar Reverse Proof PCGS PR69 Coin Is Amazing Perfect !!,127007882372,"Jan 29, 2026",$110.00,$6.95,,,Fixed price,https://www.ebay.com/itm/127007882372,1
