Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Dec 22, 2025",$385.00,$4.75,,,Fixed price,,1
,,"Nov 4, 2025",$199.00,$0.00,,,Fixed price,,1
,,"Nov 3, 2025","$1,259.00",$0.00,,,Auction,,1
,,"Nov 12, 2025",$285.00,$6.95,,,Auction,,1
,,"Nov 27, 2025",$140.00,$8.25,,,Fixed price,,1
,,"Nov 16, 2025",$852.00,$11.99,,,Auction,,1
,,"Nov 24, 2025",$122.50,$5.25,,,Auction,,1
,,"Dec 2, 2025",$150.00,$4.00,,,Fixed price,,1
1888-S $1 Morgan Silver Dollar-XF,167979875171,"Dec 11, 2025",$165.00,$5.15,,,Fixed price,https://www.ebay.com/itm/167979875171,1
,,"Dec 31, 2025",$229.99,$0.00,,,Fixed price,,1
,,"Jan 7, 2026",$190.00,$0.00,,,Fixed price,,1
1888-S AU+ Morgan Silver Dollar $1 Almost Uncirculated San Francisco,168111227034,"Feb 15, 2026",$240.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168111227034,1
1888-S MORGAN DOLLAR ICG XF45,168210499853,"Mar 22, 2026",$210.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168210499853,1
* 1888-S * SUPERB+ GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL COLLECTION,168215996577,"Mar 15, 2026",$872.00,$11.99,,,Auction,https://www.ebay.com/itm/168215996577,1
"Lot 02: 2x Morgan Silver Dollars, 1900 S and 1888 O Circulated",168236074168,"Mar 22, 2026",$100.00,$8.92,,,Auction,https://www.ebay.com/itm/168236074168,1
"BU Morgan Silver Dollars Lot of 5 1879-S, 1888-S, 1890-P, 1885-O, 1889-P ERRORS",168260020032,"Mar 31, 2026",$357.00,$12.00,,,Auction,https://www.ebay.com/itm/168260020032,1
"BU Morgan Silver Dollars Lot of 5 1880-S, 1884-O, 1888-O, 1890-S, 1897-P, ERRORS",168260054088,"Mar 31, 2026",$323.00,$12.00,,,Auction,https://www.ebay.com/itm/168260054088,1
