Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1896-S Morgan Silver Dollar Estate Coin Collection *418,137085917368,"Mar 6, 2026",$75.00,$0.00,,,Auction,https://www.ebay.com/itm/137085917368,1
1896 S Morgan Silver Dollar 1$ #184,126040437526,"Mar 3, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126040437526,1
,,"Mar 3, 2026",$100.00,$0.00,,,Fixed price,,1
G/VG 1896-S Morgan Silver Dollar (1 coin) *9766,127701253981,"Mar 2, 2026",$79.95,$0.00,,,Auction,https://www.ebay.com/itm/127701253981,1
Morgan Silver Dollars Lot Of 10 Better Dates 1879-O 1896-O 1899-S Toner Mix (L92,127711153520,"Mar 1, 2026",$731.00,$7.52,,,Auction,https://www.ebay.com/itm/127711153520,1
1896 Morgan Silver Dollar PCGS MS64+ S$1 Philadelphia Minted No Reserve,157693177024,"Mar 1, 2026",$151.00,$0.00,,,Auction,https://www.ebay.com/itm/157693177024,1
4 - Morgan Silver Dollar Set 1902 1896-O 1890-0 1879-S American Historic Society,157706221954,"Mar 1, 2026",$265.00,$0.00,,,Auction,https://www.ebay.com/itm/157706221954,1
1896-S Morgan Silver Dollar VF/EF Key Date - rare in higher grades NEW PICS,157708095116,"Mar 1, 2026",$200.00,$5.20,,,Auction,https://www.ebay.com/itm/157708095116,1
"3 Junk Silver Morgan Dollars 1896-0, 1900-O, 1879-S",127697880213,"Feb 28, 2026",$189.50,$7.95,,,Auction,https://www.ebay.com/itm/127697880213,1
Lot of 3 – 1896 1884-S & 1884 Morgan Silver Dollars – 90% Silver – Circulated,127710651779,"Feb 28, 2026",$195.00,$3.52,,,Fixed price,https://www.ebay.com/itm/127710651779,1
Early - 1896-S Morgan Silver Dollar - 90% US Coin *525,127699806313,"Feb 27, 2026",$78.00,$0.00,,,Auction,https://www.ebay.com/itm/127699806313,1
Early - 1896-S Morgan Silver Dollar - 90% US Coin *492,137059330093,"Feb 26, 2026",$71.00,$0.00,,,Auction,https://www.ebay.com/itm/137059330093,1
Morgan Silver Dollar 1896 S NGC Graded MS63,147174346328,"Feb 26, 2026",$179.95,$5.30,,,Fixed price,https://www.ebay.com/itm/147174346328,1
1896-S Morgan Silver Dollar F,127691143680,"Feb 25, 2026",$105.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127691143680,1
1896 P Morgan Silver Dollar UNC *Free S/H After 1st Item*,127692142612,"Feb 25, 2026",$70.00,$2.38,,,Auction,https://www.ebay.com/itm/127692142612,1
1896 S Morgan Silver Dollar,147162134801,"Feb 24, 2026",$64.51,$5.49,,,Auction,https://www.ebay.com/itm/147162134801,1
"1896-S Morgan Silver Dollar Silver Coin, Choice AU Better Date KD",127438827854,"Feb 23, 2026",$404.96,$0.00,,,Fixed price,https://www.ebay.com/itm/127438827854,1
,,"Feb 23, 2026",$404.96,$0.00,,,Fixed price,,1
1896 Morgan Silver Dollar PCGS MS64 S$1 Philadelphia Minted No Reserve,157680136048,"Feb 22, 2026",$111.00,$0.00,,,Auction,https://www.ebay.com/itm/157680136048,1
VF 1896-S Morgan Silver Dollar (1 coin),365117527411,"Feb 21, 2026",$165.63,$0.00,,,Fixed price,https://www.ebay.com/itm/365117527411,3
1896 S Morgan Silver Dollar,157644719264,"Feb 20, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157644719264,1
1896 S Morgan Silver Dollar Fine,157661712168,"Feb 20, 2026",$83.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157661712168,1
1896-S Morgan Silver Dollar CHOICE XF E375 WCAX,147158605079,"Feb 19, 2026",$190.01,$0.00,,,Fixed price,https://www.ebay.com/itm/147158605079,1
"KEY 1896-S MORGAN SILVER DOLLAR, XF+. Nicely toned.",157689134967,"Feb 19, 2026",$300.00,$8.75,,,Fixed price,https://www.ebay.com/itm/157689134967,1
1896 S Morgan Dollar VF-Very Fine 90% Silver $1 US Coin #1382,166725755683,"Feb 19, 2026",$149.95,$21.12,,,Fixed price,https://www.ebay.com/itm/166725755683,1
1896 S Morgan Silver Dollar,147149217224,"Feb 18, 2026",$71.02,$5.49,,,Auction,https://www.ebay.com/itm/147149217224,1
1896-S Morgan Silver Dollar VG - Better Date.,157671509925,"Feb 18, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157671509925,1
1896-S Morgan Silver Dollar $1 - XF Condition- Lots Of Shine. (J31),127680830609,"Feb 17, 2026",$142.76,$3.95,,,Auction,https://www.ebay.com/itm/127680830609,1
"1881 S, 1885, 1889, and 1896 $1 Morgan Silver Dollars",147147137250,"Feb 17, 2026",$275.00,$0.00,,,Auction,https://www.ebay.com/itm/147147137250,1
1884 S Morgan and 1896 S Morgan ONE DOLLAR opening bid no reserve no history,147153903111,"Feb 17, 2026",$240.50,$5.77,,,Auction,https://www.ebay.com/itm/147153903111,1
1896 S Morgan Dollar - #132 *Combined Shipping for Multiple Orders*,147126728217,"Feb 16, 2026",$59.00,$5.29,,,Auction,https://www.ebay.com/itm/147126728217,1
1896 S Morgan Silver Dollar,147145548893,"Feb 16, 2026",$86.00,$5.49,,,Auction,https://www.ebay.com/itm/147145548893,1
1896-S San Francisco Mint Morgan Silver Dollar Very Fine+,127673645971,"Feb 15, 2026",$120.50,$0.00,,,Auction,https://www.ebay.com/itm/127673645971,1
1896 S Morgan Silver Dollar F Details,147147544310,"Feb 15, 2026",$71.01,$3.75,,,Auction,https://www.ebay.com/itm/147147544310,1
1896-S F 15 San Francisco Mint PCGS Morgan Silver Dollar,117024567275,"Feb 14, 2026",$235.95,$5.50,,,Auction,https://www.ebay.com/itm/117024567275,1
,,"Feb 14, 2026",$235.95,$5.50,,,Auction,,1
02/00000013 L#1063 1896 S Morgan Silver DOllar Coin (bep),157675779403,"Feb 13, 2026",$215.00,$0.00,,,Auction,https://www.ebay.com/itm/157675779403,1
1896-S $1 Morgan Silver Dollar NGC VF 35 Coin,127593537388,"Feb 12, 2026",$352.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127593537388,1
,,"Feb 12, 2026",$352.00,$5.00,,,Fixed price,,1
1896 S Morgan Silver Dollar US Coin Semi Key Date,127671917588,"Feb 11, 2026",$119.00,$3.99,,,Fixed price,https://www.ebay.com/itm/127671917588,1
US Coin 1896 S Morgan Silver Dollar NO RESERVE!,147140315688,"Feb 11, 2026",$152.50,$7.00,,,Auction,https://www.ebay.com/itm/147140315688,1
,,"Feb 11, 2026",$119.00,$3.99,,,Fixed price,,1
1896-S Morgan Silver Dollar $1 - Certified ANACS AU53 Details - Rare Date Coin!,147126654670,"Feb 10, 2026",$843.88,$0.00,,,Fixed price,https://www.ebay.com/itm/147126654670,1
1896 S Morgan Silver Dollar,147132225230,"Feb 9, 2026",$66.50,$5.49,,,Auction,https://www.ebay.com/itm/147132225230,1
