Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 10, 2025",$17.50,$8.00,,,Fixed price,,2
1885-O Morgan silver Dollar. Fine,397602094338,"Feb 13, 2026",$60.56,$5.00,,,Fixed price,https://www.ebay.com/itm/397602094338,9
[Removed] Item 397731886430,397731886430,"Mar 19, 2026",$48.36,$0.00,,,Fixed price,,2
,,"Oct 20, 2025",$84.50,$0.00,,,Fixed price,,2
,,"Dec 19, 2025",$59.95,$4.87,,,Fixed price,,1
,,"Jan 12, 2026",$69.95,$0.00,,,Fixed price,,1
1885 $1 Morgan Silver Dollar CIRCULATED 90% Silver Coin,115263814310,"Mar 31, 2026",$86.00,$7.70,,,Fixed price,https://www.ebay.com/itm/115263814310,1
,,"Dec 12, 2025",$47.50,$4.50,,,Fixed price,,1
,,"Dec 8, 2025",$245.00,$4.00,,,Fixed price,,1
1885 Morgan Silver Dollar New Orleans Mint American Currency 90% Silver Coin L,115325952682,"Jan 23, 2026",$79.95,$0.00,,,Fixed price,https://www.ebay.com/itm/115325952682,1
1885 $1 Morgan Silver Dollar,115388705084,"Jan 14, 2026",$58.95,$7.35,,,Fixed price,https://www.ebay.com/itm/115388705084,1
1885-O Morgan Silver Dollar Uncirculated $1 #025,115475107308,"Jan 26, 2026",$75.00,$5.50,,,Fixed price,https://www.ebay.com/itm/115475107308,1
1885-P Morgan Silver Dollar Philadelphia Mint Uncirculated $1 #049,115475170126,"Jan 17, 2026",$72.50,$5.25,,,Fixed price,https://www.ebay.com/itm/115475170126,1
1885-O Morgan Silver Dollar PCGS MS62,115525628959,"Jan 31, 2026",$85.00,$8.99,,,Fixed price,https://www.ebay.com/itm/115525628959,1
,,"Dec 7, 2025",$62.00,$0.00,,,Fixed price,,1
,,"Oct 20, 2025",$305.00,$9.90,,,Fixed price,,1
1885 O Morgan Silver Dollar $1 NGC MS63 Old Uncirculated BU Nice Color Toning++,115702030651,"Mar 24, 2026",$165.00,$0.00,,,Fixed price,https://www.ebay.com/itm/115702030651,1
1885-S MORGAN SILVER DOLLAR #8081223-50W,115895791398,"Feb 28, 2026",$128.00,$0.00,,,Fixed price,https://www.ebay.com/itm/115895791398,1
1885-O Morgan Silver Dollar PCGS MS 62 ( Bottom right Case Damaged ),115925074473,"Jan 23, 2026",$80.00,$3.99,,,Fixed price,https://www.ebay.com/itm/115925074473,1
1885 Morgan Silver Dollar - Philadelphia Mint - free shipping!!!!,115954460034,"Jan 25, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/115954460034,1
1885-O Morgan Silver Dollar NGC Graded MS64 SKU# 32262,115968291026,"Feb 2, 2026",$130.00,$4.50,,,Fixed price,https://www.ebay.com/itm/115968291026,1
,,"Nov 20, 2025",$84.95,$0.00,,,Fixed price,,1
,,"Dec 26, 2025",$48.00,$4.99,,,Fixed price,,1
,,"Jan 12, 2026",$58.00,$4.99,,,Fixed price,,1
,,"Jan 10, 2026",$69.99,$0.00,,,Fixed price,,1
mw24761 Silver Morgan Dollar 1885 O AU/UNC,116192509590,"Jan 19, 2026",$65.00,$6.00,,,Fixed price,https://www.ebay.com/itm/116192509590,1
,,"Dec 18, 2025",$75.00,$0.00,,,Fixed price,,1
MORGAN SILVER DOLLAR 1885 O PCGS MS 65+++ LOOKS PL GLASSY WOW COIN,116253040934,"Feb 15, 2026",$315.00,$5.95,,,Fixed price,https://www.ebay.com/itm/116253040934,1
,,"Oct 28, 2025",$45.00,$0.00,,,Fixed price,,1
1885-O Morgan Silver Dollar- MS 63 NGC,116311961702,"Jan 25, 2026",$81.00,$5.45,,,Fixed price,https://www.ebay.com/itm/116311961702,1
,,"Dec 14, 2025",$60.00,$4.76,,,Fixed price,,1
1885-O MS MORGAN SILVER DOLLAR * AWESOME COLOR TONED * BLAST WHITE REVERSE * BU,116367263440,"Feb 1, 2026",$99.99,$6.95,,,Fixed price,https://www.ebay.com/itm/116367263440,1
,,"Jan 3, 2026",$75.00,$8.10,,,Fixed price,,1
,,"Dec 12, 2025",$48.00,$0.00,,,Fixed price,,1
,,"Oct 22, 2025",$35.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$99.00,$0.00,,,Fixed price,,1
"1885 Morgan Silver Dollar ""GEM BU"" #2",116427236528,"Jan 14, 2026",$75.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116427236528,1
,,"Oct 25, 2025",$43.00,$0.00,,,Fixed price,,1
,,"Jan 6, 2026",$64.00,$4.54,,,Fixed price,,1
1885 O Morgan Silver Dollar $1 Coin PCGS MS-62 ~Stunning Rainbow Hat Toning!!~,116460171316,"Feb 26, 2026",$174.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116460171316,1
,,"Jan 3, 2026",$65.00,$5.00,,,Fixed price,,1
,,"Jan 3, 2026",$58.95,$4.95,,,Fixed price,,1
1885 O Morgan Silver Dollar MS64 NGC Mirrored Fields,116513442052,"Jan 17, 2026",$100.00,$4.25,,,Fixed price,https://www.ebay.com/itm/116513442052,1
,,"Jan 8, 2026",$67.50,$0.00,,,Fixed price,,1
1885-O NGC MS64 Morgan Silver Dollar $1 234972-022,116604633295,"Jan 23, 2026",$109.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116604633295,1
1885-O NGC MS64 Morgan Silver Dollar $1 234972-073,116604633700,"Feb 15, 2026",$109.00,$8.75,,,Fixed price,https://www.ebay.com/itm/116604633700,1
1885-O NGC MS64 Morgan Silver Dollar $1 1761555-048,116604644419,"Jan 23, 2026",$109.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116604644419,1
1885-O NGC MS64 Morgan Silver Dollar $1 234972-001,116604644975,"Jan 23, 2026",$109.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116604644975,1
1885-O NGC MS64 Morgan Silver Dollar $1 234972-015,116604646490,"Jan 23, 2026",$109.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116604646490,1
1885-O NGC MS64 Morgan Silver Dollar $1 234972-013,116604647446,"Jan 23, 2026",$109.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116604647446,1
1885-O NGC MS64 Morgan Silver Dollar $1 1761556-073,116604647855,"Jan 23, 2026",$109.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116604647855,1
1885-O Morgan Silver Dollar Original Bag Fragment MS64 NGC,116618483939,"Feb 20, 2026",$159.50,$0.00,,,Fixed price,https://www.ebay.com/itm/116618483939,1
,,"Jan 4, 2026",$88.00,$3.00,,,Fixed price,,1
1885 Morgan Silver Dollar NGC MS-63,116643281420,"Jan 19, 2026",$78.95,$5.25,,,Fixed price,https://www.ebay.com/itm/116643281420,1
,,"Dec 27, 2025",$47.00,$5.00,,,Fixed price,,1
1885-O Morgan Silver Dollar Coin,116655356695,"Jan 23, 2026",$70.00,$4.00,,,Fixed price,https://www.ebay.com/itm/116655356695,1
,,"Jan 7, 2026","$1,550.00",$0.00,,,Fixed price,,1
,,"Jan 5, 2026",$70.04,$5.00,,,Fixed price,,1
,,"Dec 13, 2025",$68.75,$21.45,,,Fixed price,,1
