Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1896-O Morgan Silver Dollar $1 - New Orleans Mint - Tough Date! Raw Circulated,127709090562,"Mar 4, 2026",$59.99,$4.99,,,Auction,https://www.ebay.com/itm/127709090562,1
Morgan Silver Dollars Lot Of 10 Better Dates 1879-O 1896-O 1899-S Toner Mix (L92,127711153520,"Mar 1, 2026",$731.00,$7.52,,,Auction,https://www.ebay.com/itm/127711153520,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *413,127712909701,"Mar 6, 2026",$70.00,$0.00,,,Auction,https://www.ebay.com/itm/127712909701,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *566,127713092683,"Mar 6, 2026",$70.00,$0.00,,,Auction,https://www.ebay.com/itm/127713092683,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *524,127713246861,"Mar 6, 2026",$67.20,$0.00,,,Auction,https://www.ebay.com/itm/127713246861,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *605,127716716515,"Mar 8, 2026",$77.00,$0.00,,,Auction,https://www.ebay.com/itm/127716716515,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *452,127717066251,"Mar 8, 2026",$71.00,$0.00,,,Auction,https://www.ebay.com/itm/127717066251,1
1896-O Morgan Silver Dollar Estate Coin Collection *441,127721465020,"Mar 10, 2026",$62.00,$0.00,,,Auction,https://www.ebay.com/itm/127721465020,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *488,127727550728,"Mar 13, 2026",$65.55,$0.00,,,Auction,https://www.ebay.com/itm/127727550728,1
1896-O Morgan Silver Dollar Estate Coin Collection *129,127727602247,"Mar 13, 2026",$69.17,$0.00,,,Auction,https://www.ebay.com/itm/127727602247,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *547,127743773444,"Mar 19, 2026",$65.99,$0.00,,,Auction,https://www.ebay.com/itm/127743773444,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *446,127746356312,"Mar 20, 2026",$74.00,$0.00,,,Auction,https://www.ebay.com/itm/127746356312,1
1896 O Morgan Silver Dollar $1 New Orleans Semi-Key. Great Coin Xf Or Better,127746440239,"Mar 15, 2026",$85.00,$5.40,,,Fixed price,https://www.ebay.com/itm/127746440239,1
