Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1994 PROOF 1/10oz ONZA MEXICO LIBERTAD .999 PLATA PURA SILVER,226714632710,"Jan 26, 2026",$124.95,$4.50,,,Fixed price,https://www.ebay.com/itm/226714632710,1
1994 Mexican Libertad 1 oz .999 Fine Silver Coin -NH,306720022328,"Jan 26, 2026",$120.50,$7.55,,,Auction,https://www.ebay.com/itm/306720022328,1
,,"Jan 26, 2026",$124.95,$4.50,,,Fixed price,,1
1994 Mexico 1 Oz .999 Silver Libertad NGC MS 65 – Nice Luster!,297959876751,"Jan 25, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/297959876751,1
1994 1oz .999 Fine Silver Mexican Libertad,147103064712,"Jan 24, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147103064712
,,"Jan 24, 2026",$120.00,$0.00,,,Fixed price,,1
,,"Jan 23, 2026",$335.00,$0.00,,,Fixed price,,1
1994 Mo Mexico 1 Onza Libertad Uncirculated 1 oz. Silver Coin – NGC MS67,147093075262,"Jan 22, 2026",$147.50,$5.29,,,Auction,https://www.ebay.com/itm/147093075262
,,"Jan 22, 2026",$147.50,$5.29,,,Auction,,1
1994 1 oz 999 SILVER Mexican Libertad Coin - Beautifully Toned,187953033514,"Jan 21, 2026",$195.00,$0.00,,,Auction,https://www.ebay.com/itm/187953033514,1
Silver 1994-Mo Mexico 1 oz Libertad Onza | PCGS MS67,326955983197,"Jan 21, 2026",$174.50,$0.00,,,Auction,https://www.ebay.com/itm/326955983197,1
,,"Jan 21, 2026",$195.00,$0.00,,,Auction,,1
1994 1oz .999 Fine Silver Mexican Libertad,147103067715,"Jan 19, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147103067715
,,"Jan 19, 2026",$110.00,$0.00,,,Fixed price,,1
1994 Mo Mexico Libertad Onza 1 oz .999 Silver BU,157620272372,"Jan 17, 2026",$110.00,$7.50,,,Fixed price,https://www.ebay.com/itm/157620272372
1994 Mo Mexico Libertad Onza 1 oz .999 Silver BU - SKU-Q2923,187952139240,"Jan 17, 2026",$115.00,$5.50,,,Fixed price,https://www.ebay.com/itm/187952139240,1
1994 MEXICO LIBERTAD 1 ONZA SILVER NGC MS67,277641884313,"Jan 17, 2026",$210.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277641884313,1
,,"Jan 17, 2026",$110.00,$7.50,,,Fixed price,,1
,,"Jan 17, 2026",$115.00,$5.50,,,Fixed price,,1
,,"Jan 17, 2026",$210.00,$0.00,,,Fixed price,,1
