Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1878-1904 Morgan Silver Dollar BU - w/Merry Christmas Card,115098609201,"Dec 18, 2025",$74.86,$0.00,,,Fixed price,https://www.ebay.com/itm/115098609201,3
EF/AU 1904 MORGAN SILVER DOLLAR BEAUTIFUL COLLECTORS COIN M-1367,116571809330,"Feb 6, 2026",$86.00,$5.25,,,Fixed price,https://www.ebay.com/itm/116571809330,2
1878-1904 Morgan Silver Dollar Old Town Card BU (Random Year),126976848677,"Feb 4, 2026",$108.56,$0.00,,,Fixed price,https://www.ebay.com/itm/126976848677,2
1904-O Morgan Silver Dollar MS63 ICG,127304912454,"Dec 30, 2025",$82.45,$0.00,,,Fixed price,https://www.ebay.com/itm/127304912454,2
1904-O Morgan Silver Dollar Original Bag Fragment MS64 NGC,127406884133,"Mar 7, 2026",$147.50,$0.00,,,Fixed price,https://www.ebay.com/itm/127406884133,2
1904-O Morgan Silver Dollar MS64 PCGS Blue Label,135191911351,"Dec 19, 2025",$97.45,$0.00,,,Fixed price,https://www.ebay.com/itm/135191911351,2
G/VG 1904-O Morgan Silver Dollar (1 coin),135191945870,"Jan 2, 2026",$52.48,$0.00,,,Fixed price,https://www.ebay.com/itm/135191945870,2
1904-O Morgan Silver Dollar MS63 NGC Brown Label,136533780001,"Jan 6, 2026",$98.39,$16.49,,,Fixed price,https://www.ebay.com/itm/136533780001,4
"Morgan Silver Dollar Coin MS65 (1878-1904, PCGS or NGC)",155442641069,"Mar 1, 2026",$197.47,$0.00,,,Fixed price,https://www.ebay.com/itm/155442641069,2
,,"Nov 15, 2025",$85.00,$0.00,,,Fixed price,,2
,,"Nov 4, 2025",$154.27,$0.00,,,Fixed price,,2
1904-O Morgan Silver Dollar NGC MS63 Bullion Plus Label Original Bag Fragment,177879399532,"Mar 29, 2026",$106.61,$0.00,,,Fixed price,https://www.ebay.com/itm/177879399532,2
,,"Jan 10, 2026",$62.00,$0.00,,,Fixed price,,4
1878 - 1904 Morgan Silver dollars XF ( Random Years ) $1 Extremely Fine,188011932897,"Feb 9, 2026",$97.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188011932897,2
,,"Nov 3, 2025",$38.00,$0.00,,,Fixed price,,3
,,"Nov 11, 2025",$747.51,$0.00,,,Fixed price,,2
Morgan Silver Dollars-Philadelphia Mint F-VF Pre-1921 From 1878 to 1904-4 Coins,204661299449,"Jan 19, 2026",$251.67,$0.00,,,Fixed price,https://www.ebay.com/itm/204661299449,3
,,"Nov 8, 2025",$31.99,$5.00,,,Fixed price,,2
,,"Nov 7, 2025",$31.99,$5.00,,,Fixed price,,2
"1878-1904 Random Year Morgan Silver Dollar VG to VF, Lot of 1 (One) -#D5",227239116174,"Mar 25, 2026",$58.11,$0.00,,,Fixed price,https://www.ebay.com/itm/227239116174,4
1904-O Morgan Silver Dollar $1 NGC MS 63,257309806738,"Jan 19, 2026",$98.34,$5.00,,,Fixed price,https://www.ebay.com/itm/257309806738,3
1904 O Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266846405584,"Apr 1, 2026",$194.90,$0.00,,,Fixed price,https://www.ebay.com/itm/266846405584,2
(10) 1878-1904 MORGAN DOLLARS COIN ROLL “STUNNING GEMS” BU UNCIRCULATED 90% SIL.,267235812951,"Jan 25, 2026","$1,449.89",$0.00,,,Fixed price,https://www.ebay.com/itm/267235812951,2
