Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1899 S $1 Morgan Silver Dollar - NGC XF40 - Better Date - Nicely Toned,117054397345,"Apr 3, 2026",$166.50,$5.52,,,Fixed price,https://www.ebay.com/itm/117054397345,1
1899-O MS62 Stunning Surfaces PCGS New Orleans Mint Morgan Silver Dollar,117112300506,"Apr 3, 2026",$92.02,$5.50,,,Auction,https://www.ebay.com/itm/117112300506,1
1899-O MS62 Sparkling Bright Surfaces PCGS New Orleans Mint Morgan Silver Dollar,117112303974,"Apr 3, 2026",$82.00,$5.50,,,Auction,https://www.ebay.com/itm/117112303974,1
6 Morgan Silver Dollar US Reproduction Coins 1899 - 1904 Looks/Feels Authentic!,377007002913,"Apr 2, 2026",$16.25,$6.50,,,Fixed price,https://www.ebay.com/itm/377007002913
1899-O MS61 PCGS New Orleans Mint Morgan Silver Dollar,117110528695,"Apr 2, 2026",$79.95,$5.50,,,Auction,https://www.ebay.com/itm/117110528695,1
* 1899-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709606716,"Mar 29, 2026",$151.49,$0.00,,,Fixed price,https://www.ebay.com/itm/164709606716
1899-O MS63 Striking PCGS New Orleans Mint Morgan Silver Dollar,117102505766,"Mar 29, 2026",$84.95,$5.50,,,Auction,https://www.ebay.com/itm/117102505766,1
* 1899-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709606716,"Mar 29, 2026",$152.45,$0.00,,,Fixed price,https://www.ebay.com/itm/164709606716,12
* 1899-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709606716,"Mar 29, 2026",$153.59,$0.00,,,Fixed price,https://www.ebay.com/itm/164709606716,11
1899-P Morgan Silver Dollar $1 PCGS MS62,117094520994,"Mar 28, 2026",$304.34,$0.00,,,Auction,https://www.ebay.com/itm/117094520994,1
1899-O MORGAN DOLLAR,117111686651,"Mar 28, 2026",$60.00,$4.80,,,Fixed price,https://www.ebay.com/itm/117111686651,1
1899-O $1 Morgan Silver Dollar NGC MS 64,115980695635,"Mar 26, 2026",$128.00,$3.99,,,Fixed price,https://www.ebay.com/itm/115980695635
1899-O Morgan Dollar Certified ANACS MS 63,117089847645,"Mar 23, 2026",$90.00,$4.84,,,Fixed price,https://www.ebay.com/itm/117089847645,1
1899-O Morgan Dollar PCGS MS-63,117091352549,"Mar 23, 2026",$77.50,$15.21,,,Auction,https://www.ebay.com/itm/117091352549,1
1899 Morgan Silver Dollar *2797,127320870439,"Mar 22, 2026",$165.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127320870439,1
[Removed] Item 236625608171,236625608171,"Mar 20, 2026",$61.33,$0.00,,,Fixed price,
1899 Morgan Silver Dollar $1 PCGS MS63 ~ Beautiful Coin,117092610441,"Mar 20, 2026",$380.00,$5.39,,,Auction,https://www.ebay.com/itm/117092610441,1
One(1) Beautiful 1899-O Morgan Silver Dollar PCGS MS63 7878,117078671750,"Mar 19, 2026",$85.00,$8.75,,,Auction,https://www.ebay.com/itm/117078671750,1
- 1899-O Morgan Dilver Dollar - 90% Silver - New Orleans Mint - Nice Coin,117082405930,"Mar 18, 2026",$54.00,$5.99,,,Auction,https://www.ebay.com/itm/117082405930,1
1899 NGC AU Details Morgan Silver Dollar Better Date,117044889051,"Mar 16, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117044889051,1
BU/Unc 1899-O Morgan Silver Dollar (1 coin),133692448581,"Mar 15, 2026",$69.52,$0.00,,,Fixed price,https://www.ebay.com/itm/133692448581
BU/Unc 1899-O Morgan Silver Dollar (1 coin),133692448581,"Mar 15, 2026",$71.79,$0.00,,,Fixed price,https://www.ebay.com/itm/133692448581,10
1899-O morgan silver dollar - Very Nice Toning - High Grade,117077392688,"Mar 15, 2026",$61.00,$5.99,,,Auction,https://www.ebay.com/itm/117077392688,1
"1878 S BU/UNC Morgan Silver Dollar - PCS LEGENDS OF THE WEST, ""Overland Mail""",117084361118,"Mar 13, 2026",$189.99,$6.95,,,Fixed price,https://www.ebay.com/itm/117084361118,1
1899O Morgan Dollar Silver $1 Coin Rare Key Date Beautiful 1899 O,117072231176,"Mar 12, 2026",$76.00,$0.00,,,Auction,https://www.ebay.com/itm/117072231176,1
1899 O Morgan Silver Dollar $1 New Orleans United States Coin,117064599163,"Mar 11, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/117064599163,1
1899 O Morgan Silver Dollar $1 PCGS MS64 Rainbow Toned BU Uncirculated US Coin,127092408800,"Mar 8, 2026",$144.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127092408800,1
,,"Mar 7, 2026",$63.90,$0.00,,,Fixed price,
"1899-O Morgan silver dollar. PCGS genuine, scratched(?)",117070452330,"Mar 7, 2026",$77.50,$4.00,,,Auction,https://www.ebay.com/itm/117070452330,1
