Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"**ONLY 19,847 MINTED** 2015 COLORIZED Lunar GOAT - 1/2 oz Silver Coin - Perth",286835453909,"Feb 20, 2026",$61.71,$4.87,,,Fixed price,https://www.ebay.com/itm/286835453909,4
,,"Dec 1, 2025",$30.63,$3.00,,,Fixed price,,3
,,"Jan 18, 2026",$46.88,$7.74,,,Fixed price,,3
2015 Australia Year of the Goat 1 oz Silver Coin – Lunar II – BU Reverse Proof,317812021593,"Apr 19, 2026",$99.99,$4.99,,,Fixed price,https://www.ebay.com/itm/317812021593,2
,,"Jan 26, 2026",$114.95,$0.00,,,Fixed price,,2
2015 Australia Lunar Year of the Goat 1/2 oz .999,117059042551,"Apr 23, 2026",$60.00,$5.07,,,Fixed price,https://www.ebay.com/itm/117059042551,1
,,"Jan 29, 2026",$124.95,$0.00,,,Fixed price,,1
,,"Jan 29, 2026",$159.00,$0.00,,,Fixed price,,2
,,"Jan 22, 2026",$749.95,$0.00,,,Fixed price,,1
2015 Australia Year Of The Goat 1oz Silver Coin In Capsule,137257489114,"May 1, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137257489114,1
,,"Jan 26, 2026",$59.00,$5.89,,,Fixed price,,1
,,"Jan 28, 2026",$125.50,$0.00,,,Auction,,1
,,"Jan 29, 2026",$127.00,$0.00,,,Auction,,1
,,"Jan 29, 2026",$274.99,$5.95,,,Fixed price,,1
4 x 1 oz .999 Silver - 2015 Australia Dollars Year of the Goat,157821747191,"Apr 20, 2026",$360.00,$0.00,,,Auction,https://www.ebay.com/itm/157821747191,1
2015 Australia Lunar Year of the Goat 1/2 ozt .9999 Fine Silver!,157853706933,"Apr 29, 2026",$42.00,$5.97,,,Auction,https://www.ebay.com/itm/157853706933,1
,,"Jan 21, 2026",$95.12,$5.20,,,Auction,,1
,,"Jan 27, 2026",$99.95,$5.50,,,Fixed price,,1
,,"Jan 24, 2026","$1,070.00",$10.99,,,Fixed price,,1
,,"Jan 22, 2026",$167.50,$6.00,,,Auction,,1
,,"Jan 18, 2026",$100.00,$0.00,,,Fixed price,,1
,,"Jan 31, 2026",$143.50,$5.62,,,Auction,,1
,,"Jan 20, 2026",$95.00,$5.95,,,Fixed price,,1
2015 P Australia Silver Lunar Series II Year of the Goat 1/2 oz $1 - BU PERTH,198284363180,"Apr 25, 2026",$40.00,$5.00,,,Fixed price,https://www.ebay.com/itm/198284363180,1
,,"Jan 23, 2026",$115.00,$12.19,,,Fixed price,,1
,,"Jan 22, 2026",$103.00,$0.00,,,Fixed price,,1
"2015 Australia 5oz, 2oz, 1oz, 1/2oz - Year of the Goat - Lunar Series II - BU",236745370866,"Apr 20, 2026",$750.00,$7.95,,,Fixed price,https://www.ebay.com/itm/236745370866,1
TWO 1/2oz 999 Fine Silver 2013 Australia Year of Goat Perth Mint Bullion Coins,236749430294,"Apr 30, 2026",$92.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236749430294,1
,,"Jan 31, 2026",$98.00,$4.25,,,Auction,,1
2015 PAMP Suisse 1 Oz Silver Lunar Year Goat Silver Bar In Assay,257456327385,"Apr 20, 2026",$188.00,$6.42,,,Auction,https://www.ebay.com/itm/257456327385,1
,,"Jan 27, 2026",$149.95,$7.95,,,Fixed price,,1
,,"Dec 27, 2025",$139.50,$4.25,,,Auction,,1
,,"Jan 13, 2026",$94.95,$0.00,,,Fixed price,,1
,,"Jan 24, 2026",$187.61,$4.25,,,Auction,,1
,,"Jan 31, 2026",$242.50,$4.25,,,Auction,,1
2015 PAMP Suisse Lunar Series Year of Goat 1 oz .999 Fine Silver in Assay,267589156643,"Feb 28, 2026",$285.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267589156643,1
2015 Australia 1oz Year of the Goat High Relief Silver Coin BOX&COA #7,267593251485,"Mar 3, 2026",$129.99,$0.00,,,Fixed price,https://www.ebay.com/itm/267593251485,1
2015 PAMP Lunar Series Year of the Goat 1 oz .999 Fine Silver Bar in Assay Card,267622766478,"Apr 11, 2026",$177.50,$4.25,,,Auction,https://www.ebay.com/itm/267622766478,1
2015 1 oz .999 Fine Silver Australian Year Of The Goat Coin,275520038142,"Jan 25, 2026",$119.99,$0.00,,,Fixed price,https://www.ebay.com/itm/275520038142,1
,,"Jan 16, 2026",$49.95,$0.00,,,Fixed price,,1
,,"Dec 1, 2025",$350.00,$9.00,,,Fixed price,,1
,,"Nov 7, 2025",$55.94,$0.00,,,Fixed price,,1
,,"Nov 24, 2025",$117.50,$0.00,,,Auction,,1
,,"Jan 13, 2026",$86.99,$0.00,,,Fixed price,,1
2015 .999 Fine Silver 1 oz Australian Perth Mint Lunar II: Year of the Goat,277755433032,"Mar 2, 2026",$105.00,$5.52,,,Auction,https://www.ebay.com/itm/277755433032,1
2015 Pamp Lunar Series Year of the Goat 1 oz 999 Fine Silver Bar Some Smudging.,277871138677,"Apr 6, 2026",$165.00,$5.52,,,Fixed price,https://www.ebay.com/itm/277871138677,1
,,"Dec 15, 2025",$89.95,$0.00,,,Fixed price,,1
,,"Dec 13, 2025",$66.88,$0.00,,,Auction,,1
,,"Dec 21, 2025",$67.00,$1.95,,,Auction,,1
,,"Jan 26, 2026",$113.50,$8.10,,,Auction,,1
